,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000096088,1519.55395468632,-3.34443652236,1.06376169422316,-3.14397156855923,0.00166671632270215,0.00936808565245222
ENSG00000096433,637.741002796684,2.9895565471571,0.473404633891753,6.31501327433284,2.70138287803178e-10,1.42028141098258e-08
ENSG00000099834,12013.3615255579,-2.20656859262933,0.40614198033442,-5.4329980634172,5.54150093523307e-08,1.58203777543049e-06
ENSG00000099869,71.7969476833717,-6.08047002000964,0.94804405771458,-6.41369983866323,1.42029723189194e-10,8.06876576755521e-09
ENSG00000099937,43808.3753172447,-2.24495598099759,0.343966162439734,-6.52667682505232,6.72449201000262e-11,4.03696054905459e-09
ENSG00000099984,4.961662458897,-3.15255033817189,0.774198865733163,-4.07201621922611,4.66079330190688e-05,0.000491619315916714
ENSG00000100003,8056.15072431167,-3.20785622918355,0.437142942724064,-7.33823176737966,2.1643414463621e-13,2.57131358008331e-11
ENSG00000100012,63.0672677853681,-3.73486276628439,0.671818510447113,-5.55933292727934,2.70807687346257e-08,8.52956045195994e-07
ENSG00000100024,8927.29977580125,-2.90578308888759,0.423986095687444,-6.85348674978645,7.2071330410087e-12,5.59693389072279e-10
ENSG00000100033,804.988397764259,-2.6858685040486,0.667197501773745,-4.02559736346167,5.68308594532196e-05,0.000576297094460098
ENSG00000100170,105.965335790812,3.76884118421791,0.842434608719778,4.47374923253129,7.68598755482471e-06,0.000108932546094102
ENSG00000100197,11723.014129655,-3.43377144815256,0.456381908433934,-7.52389913950683,5.31663645310964e-14,7.37770465843604e-12
ENSG00000100228,57.8813140062434,2.01641156354304,0.508298461978314,3.96698340517322,7.27880584689329e-05,0.000706716424685187
ENSG00000100373,384.194539535734,-4.3873017705619,0.848286088137419,-5.17196006384484,2.3165110141748e-07,5.48111435562157e-06
ENSG00000100399,275.529811736964,-2.55425042332885,0.408823285354076,-6.24781052066702,4.16246189542748e-10,2.08178430306173e-08
ENSG00000100448,35.4682823355135,-2.69187067284441,0.663835017997063,-4.05502963818688,5.01279464332719e-05,0.000521919476717144
ENSG00000100583,8.70644821422747,2.18563783146293,0.319297679871348,6.84514160060159,7.64002625799199e-12,5.906019385145e-10
ENSG00000100644,3197.05255782881,2.45991886582228,0.204352417031054,12.0376303914647,2.25335561352881e-33,2.5432122572824e-29
ENSG00000100652,7221.25616875656,-5.8874232031332,0.57619004217859,-10.2178496193247,1.64959592827937e-24,2.53880311525506e-21
ENSG00000100665,11407.010824617,-2.72546182857311,0.403286675392481,-6.75812516225753,1.39788751353119e-11,1.00490601530048e-09
